date,new_cases,cumulative_cases
2020-01-27,0,0
2020-01-28,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-07,0,0
2020-02-17,0,0
2020-02-21,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,1,1
2020-03-06,1,2
2020-03-07,0,2
2020-03-08,2,4
2020-03-09,3,7
2020-03-10,7,14
2020-03-11,5,19
2020-03-12,4,23
2020-03-13,6,29
2020-03-14,10,39
2020-03-15,17,56
2020-03-16,18,74
2020-03-17,23,97
2020-03-18,22,119
2020-03-19,27,146
2020-03-20,49,195
2020-03-21,31,226
2020-03-22,33,259
2020-03-23,42,301
2020-03-24,57,358
2020-03-25,61,419
2020-03-26,67,486
2020-03-27,56,542
2020-03-28,79,621
2020-03-29,40,661
2020-03-30,29,690
2020-03-31,64,754
2020-04-01,117,871
2020-04-02,97,968
2020-04-03,107,1075
2020-04-04,106,1181
2020-04-05,69,1250
2020-04-06,98,1348
2020-04-07,25,1373
2020-04-08,50,1423
2020-04-09,28,1451
2020-04-10,49,1500
2020-04-11,69,1569
2020-04-12,82,1651

