date,new_cases,cumulative_cases
2020-01-27,0,0
2020-01-28,1,1
2020-02-04,0,1
2020-02-05,1,2
2020-02-07,2,4
2020-02-17,1,5
2020-02-21,1,6
2020-02-24,0,6
2020-02-25,1,7
2020-02-27,0,7
2020-02-28,0,7
2020-02-29,1,8
2020-03-01,0,8
2020-03-02,0,8
2020-03-03,1,9
2020-03-04,4,13
2020-03-05,8,21
2020-03-06,0,21
2020-03-07,6,27
2020-03-08,0,27
2020-03-09,5,32
2020-03-10,7,39
2020-03-11,7,46
2020-03-12,7,53
2020-03-13,11,64
2020-03-14,9,73
2020-03-15,0,73
2020-03-16,30,103
2020-03-17,83,186
2020-03-18,45,231
2020-03-19,40,271
2020-03-20,77,348
2020-03-21,76,424
2020-03-22,0,424
2020-03-23,48,472
2020-03-24,145,617
2020-03-25,42,659
2020-03-26,66,725
2020-03-27,67,792
2020-03-28,92,884
2020-03-29,0,884
2020-03-30,86,970
2020-03-31,43,1013
2020-04-01,53,1066
2020-04-02,55,1121
2020-04-03,53,1174
2020-04-04,29,1203
2020-04-05,0,1203
2020-04-06,63,1266
2020-04-07,22,1288
2020-04-08,42,1330
2020-04-09,34,1364
2020-04-10,40,1404
2020-04-11,35,1439
2020-04-12,0,1439
2020-04-13,45,1484
2020-04-14,27,1511
2020-04-15,44,1555
2020-04-16,14,1569
