date,new_cases,cumulative_cases
2020-01-27,0,0
2020-01-28,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-07,0,0
2020-02-17,0,0
2020-02-21,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-27,0,0
2020-02-28,1,1
2020-02-29,0,1
2020-03-01,0,1
2020-03-02,0,1
2020-03-03,0,1
2020-03-04,0,1
2020-03-05,1,2
2020-03-06,1,3
2020-03-07,0,3
2020-03-08,1,4
2020-03-09,0,4
2020-03-10,3,7
2020-03-11,1,8
2020-03-12,9,17
2020-03-13,0,17
2020-03-14,7,24
2020-03-15,15,39
2020-03-16,11,50
2020-03-17,24,74
2020-03-18,20,94
2020-03-19,27,121
2020-03-20,18,139
2020-03-21,42,181
2020-03-22,38,219
2020-03-23,409,628
2020-03-24,412,1040
2020-03-25,299,1339
2020-03-26,290,1629
2020-03-27,392,2021
2020-03-28,477,2498
2020-03-29,342,2840
2020-03-30,590,3430
2020-03-31,732,4162
2020-04-01,449,4611
2020-04-02,907,5518
2020-04-03,583,6101
2020-04-04,896,6997
2020-04-05,947,7944
2020-04-06,636,8580
2020-04-07,760,9340
2020-04-08,691,10031
2020-04-09,881,10912
2020-04-10,765,11677
2020-04-11,615,12292
2020-04-12,554,12846
