date,new_cases,cumulative_cases
2020-01-27,0,0
2020-01-28,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-07,0,0
2020-02-17,0,0
2020-02-21,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,1,1
2020-03-15,0,1
2020-03-16,1,2
2020-03-17,0,2
2020-03-18,0,2
2020-03-19,6,8
2020-03-20,0,8
2020-03-21,17,25
2020-03-22,8,33
2020-03-23,32,65
2020-03-24,7,72
2020-03-25,14,86
2020-03-26,9,95
2020-03-27,9,104
2020-03-28,30,134
2020-03-29,22,156
2020-03-30,20,176

